epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,529.413,1.08062,0.8003,1.12888,0.81039,0.65152,0.75499,0.46456,1.3774,1.09155,1.33143,0.0008714,0.0008714,0.0008714
59,538.332,1.03982,0.76614,1.13209,0.80854,0.66061,0.73556,0.45957,1.40613,1.11179,1.37856,0.0008516,0.0008516,0.0008516
60,547.789,1.08121,0.7777,1.1276,0.70519,0.70303,0.7441,0.46778,1.35303,1.0826,1.34629,0.0008318,0.0008318,0.0008318
61,557.209,1.05423,0.78015,1.12923,0.76396,0.68485,0.76031,0.47998,1.34515,1.06682,1.32173,0.000812,0.000812,0.000812
62,564.732,1.04262,0.75286,1.10872,0.81341,0.63939,0.75125,0.46835,1.32818,1.111,1.33854,0.0007922,0.0007922,0.0007922
63,575.258,1.05464,0.76729,1.14649,0.70148,0.65455,0.71133,0.44639,1.38323,1.13615,1.34897,0.0007724,0.0007724,0.0007724
64,585.15,1.03678,0.75159,1.11316,0.78888,0.67576,0.74276,0.45583,1.37371,1.15343,1.35377,0.0007526,0.0007526,0.0007526
65,592.976,1.06023,0.81369,1.16703,0.8111,0.67662,0.75136,0.46217,1.39826,1.08787,1.38378,0.0007328,0.0007328,0.0007328
66,603.369,1.05089,0.77587,1.11908,0.77404,0.67576,0.74036,0.45515,1.39127,1.15604,1.40226,0.000713,0.000713,0.000713
67,610.925,1.09098,0.79569,1.17364,0.74461,0.69394,0.74852,0.46683,1.36638,1.11967,1.36898,0.0006932,0.0006932,0.0006932
68,622.049,1.00811,0.73119,1.09119,0.77459,0.65602,0.72211,0.43107,1.45674,1.10768,1.45836,0.0006734,0.0006734,0.0006734
69,631.164,1.01037,0.74014,1.10578,0.77833,0.69159,0.75963,0.47864,1.36548,1.02879,1.37918,0.0006536,0.0006536,0.0006536
70,639.553,0.98905,0.72144,1.10354,0.82272,0.65758,0.76592,0.47224,1.35276,1.09004,1.36029,0.0006338,0.0006338,0.0006338
71,649.486,1.00705,0.72952,1.10549,0.79068,0.66061,0.75016,0.45401,1.42,1.10178,1.40421,0.000614,0.000614,0.000614
72,657.588,0.97193,0.68888,1.061,0.72539,0.68788,0.74241,0.46585,1.36629,1.11386,1.38536,0.0005942,0.0005942,0.0005942
73,667.49,0.95062,0.66832,1.06635,0.77045,0.67273,0.74579,0.46514,1.31167,1.09416,1.33537,0.0005744,0.0005744,0.0005744
74,675.305,0.99992,0.75344,1.07074,0.74231,0.68961,0.73319,0.46382,1.36339,1.09544,1.36461,0.0005546,0.0005546,0.0005546
75,684.675,0.95714,0.66582,1.08275,0.81676,0.60909,0.73232,0.47207,1.36144,1.06041,1.36894,0.0005348,0.0005348,0.0005348
76,693.937,0.98183,0.67802,1.07258,0.76414,0.70685,0.7649,0.47647,1.35392,1.02824,1.36968,0.000515,0.000515,0.000515
