epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,6382.24,0.58937,0.91931,1.09012,0.7273,0.67916,0.72864,0.5976,0.79877,1.05081,1.04616,5.61465e-05,5.61465e-05,5.61465e-05
61,6486.98,0.5855,0.9551,1.08597,0.75625,0.68099,0.73285,0.6046,0.78349,1.06055,1.04123,5.481e-05,5.481e-05,5.481e-05
62,6592.2,0.59327,0.9323,1.08654,0.76288,0.64784,0.72002,0.59484,0.77653,1.0521,1.02997,5.34735e-05,5.34735e-05,5.34735e-05
63,6696.23,0.58222,0.90042,1.08096,0.78391,0.65149,0.73739,0.59906,0.79407,1.04026,1.04367,5.2137e-05,5.2137e-05,5.2137e-05
64,6800.37,0.58363,0.90846,1.08753,0.79494,0.64274,0.72954,0.60453,0.77183,1.02494,1.02712,5.08005e-05,5.08005e-05,5.08005e-05
65,6904.91,0.57821,0.88502,1.07761,0.77065,0.64856,0.73204,0.60288,0.77859,1.03251,1.02591,4.9464e-05,4.9464e-05,4.9464e-05
66,7008.68,0.58014,0.89898,1.07678,0.70988,0.7022,0.73666,0.61243,0.77535,1.01248,1.02354,4.81275e-05,4.81275e-05,4.81275e-05
67,7114.45,0.57247,0.87975,1.07871,0.75608,0.66574,0.73031,0.60299,0.78783,1.016,1.03725,4.6791e-05,4.6791e-05,4.6791e-05
68,7220.71,0.56607,0.88778,1.07365,0.77567,0.67152,0.75195,0.62292,0.78348,1.00426,1.03272,4.54545e-05,4.54545e-05,4.54545e-05
69,7325.24,0.55867,0.87149,1.07235,0.74591,0.67126,0.75159,0.62448,0.78276,1.00869,1.03289,4.4118e-05,4.4118e-05,4.4118e-05
70,7429.7,0.56903,0.86521,1.07021,0.74065,0.69676,0.74694,0.62723,0.76215,0.99306,1.01636,4.27815e-05,4.27815e-05,4.27815e-05
71,7534.04,0.55759,0.861,1.07141,0.72637,0.70703,0.7609,0.63586,0.77607,0.97746,1.02964,4.1445e-05,4.1445e-05,4.1445e-05
72,7637.85,0.56262,0.85818,1.07119,0.7632,0.70115,0.74838,0.63053,0.76483,0.97381,1.01826,4.01085e-05,4.01085e-05,4.01085e-05
73,7741.12,0.55911,0.82631,1.06761,0.75617,0.70141,0.75668,0.63626,0.76297,0.98381,1.01549,3.8772e-05,3.8772e-05,3.8772e-05
74,7846.18,0.55118,0.82723,1.05817,0.75475,0.68555,0.75149,0.62612,0.77307,0.97104,1.02361,3.74355e-05,3.74355e-05,3.74355e-05
75,7949.38,0.54673,0.82887,1.06154,0.80771,0.64547,0.75104,0.62793,0.76697,0.97112,1.01607,3.6099e-05,3.6099e-05,3.6099e-05
76,8052.75,0.54537,0.83483,1.05823,0.75034,0.69569,0.76567,0.64214,0.76002,0.95359,1.01561,3.47625e-05,3.47625e-05,3.47625e-05
77,8156.81,0.54095,0.82585,1.06288,0.77496,0.67577,0.76238,0.64137,0.75774,0.9559,1.01202,3.3426e-05,3.3426e-05,3.3426e-05
78,8257.9,0.54794,0.8221,1.06196,0.77775,0.68328,0.75777,0.63354,0.75091,0.94722,1.0079,3.20895e-05,3.20895e-05,3.20895e-05
79,8362.15,0.5326,0.81291,1.05473,0.78044,0.67587,0.75563,0.63946,0.73196,0.93534,0.99866,3.0753e-05,3.0753e-05,3.0753e-05
80,8466.54,0.53687,0.8184,1.05571,0.80009,0.67348,0.76149,0.6461,0.74034,0.92422,1.00394,2.94165e-05,2.94165e-05,2.94165e-05
81,8571.75,0.52814,0.78736,1.05479,0.78354,0.6789,0.75331,0.63533,0.74314,0.94375,1.00407,2.808e-05,2.808e-05,2.808e-05
82,8678.5,0.5405,0.82132,1.05912,0.7323,0.71464,0.76385,0.64066,0.74533,0.93744,1.00703,2.67435e-05,2.67435e-05,2.67435e-05
